GRDP,Dân số
15014,313905
23943,460196
21635,530341
30413,540438
45972,590467
25238,598856
39939,622168
40823,632375
67960,730420
48065,733017
41487,781655
41713,784811
40212,821030
76403,852800
67684,854131
30571,854679
50117,895430
55633,907236
50496,961152
81775,982487
87112,994679
72441,1009168
78936,1022791
66348,1128620
125219,1134310
390293,1148313
153121,1154154
102387,1169165
73529,1194476
65709,1199653
96724,1230808
96441,1231107
121668,1231697
107695,1235171
64508,1248415
132121,1252731
150195,1286751
63586,1288463
94887,1288866
103500,1296606
269244,1320324
248376,1368840
89398,1463726
106349,1486918
116374,1495812
107052,1513847
100172,1599504
156364,1688547
116042,1723067
112819,1764185
91966,1780393
155876,1803950
110800,1860447
108178,1869322
169187,1892254
102720,1908352
365585,2310280
459032,2426561
434990,3097107
175740,3327791
252672,4357523
1195989,8053663
1479227,8993082
